iter	Passed	Remaining
0	110	34265
1	218	33683
2	345	35442
3	457	35092
4	568	34816
5	699	35544
6	821	35688
7	933	35339
8	1054	35372
9	1162	34999
10	1294	35295
11	1409	35122
12	1531	35102
13	1645	34906
14	1767	34878
15	1886	34787
16	2007	34724
17	2124	34588
18	2236	34375
19	2357	34304
20	2474	34177
21	2611	34299
22	2723	34102
23	2847	34056
24	2960	33866
25	3078	33744
26	3187	33532
27	3305	33413
28	3378	32851
29	3498	32772
30	3606	32571
31	3664	31946
32	3775	31803
33	3893	31719
34	3953	31172
35	4070	31093
36	4187	31007
37	4239	30456
38	4340	30274
39	4462	30231
40	4573	30116
41	4692	30055
42	4823	30062
43	4931	29926
44	5049	29845
45	5169	29779
46	5290	29719
47	5381	29487
48	5503	29426
49	5619	29335
50	5706	29092
51	5846	29117
52	5909	28767
53	6039	28741
54	6164	28693
55	6303	28701
56	6421	28616
57	6532	28494
58	6605	28212
59	6662	27873
60	6785	27809
61	6906	27738
62	7022	27643
63	7143	27568
64	7256	27464
65	7379	27393
66	7500	27313
67	7617	27221
68	7739	27145
69	7825	26943
70	7947	26866
71	8071	26793
72	8189	26700
73	8330	26680
74	8445	26576
75	8490	26255
76	8605	26152
77	8691	25962
78	8745	25683
79	8862	25590
80	8977	25491
81	9094	25399
82	9192	25253
83	9315	25174
84	9429	25071
85	9526	24924
86	9642	24826
87	9786	24798
88	9899	24692
89	10001	24558
90	10046	24287
91	10163	24194
92	10281	24100
93	10404	24019
94	10527	23935
95	10558	23645
96	10678	23558
97	10810	23496
98	10918	23381
99	11038	23291
100	11157	23199
101	11274	23101
102	11397	23016
103	11516	22921
104	11559	22679
105	11670	22570
106	11784	22467
107	11901	22369
108	12018	22272
109	12135	22175
110	12208	21997
111	12294	21843
112	12429	21778
113	12541	21672
114	12659	21576
115	12717	21378
116	12840	21290
117	12952	21184
118	13068	21085
119	13193	20999
120	13316	20910
121	13431	20807
122	13549	20709
123	13661	20602
124	13770	20491
125	13888	20391
126	14010	20298
127	14141	20218
128	14261	20120
129	14382	20025
130	14496	19918
131	14614	19817
132	14741	19728
133	14859	19628
134	14978	19527
135	15095	19424
136	15215	19324
137	15321	19207
138	15443	19109
139	15561	19007
140	15682	18907
141	15800	18804
142	15923	18707
143	16038	18600
144	16165	18506
145	16274	18392
146	16386	18281
147	16497	18169
148	16601	18049
149	16720	17946
150	16847	17851
151	16971	17753
152	17083	17641
153	17198	17533
154	17312	17423
155	17424	17313
156	17540	17204
157	17659	17100
158	17783	17001
159	17894	16887
160	18031	16799
161	18153	16696
162	18270	16589
163	18389	16483
164	18512	16381
165	18626	16270
166	18749	16167
167	18860	16054
168	18979	15947
169	19107	15847
170	19235	15748
171	19350	15637
172	19466	15527
173	19583	15419
174	19695	15306
175	19811	15196
176	19936	15093
177	20051	14982
178	20163	14869
179	20281	14760
180	20400	14652
181	20515	14540
182	20630	14430
183	20753	14324
184	20868	14213
185	20988	14104
186	21109	13997
187	21237	13894
188	21356	13785
189	21468	13671
190	21582	13559
191	21725	13465
192	21846	13357
193	21960	13244
194	22082	13136
195	22202	13026
196	22326	12920
197	22442	12807
198	22561	12697
199	22684	12589
200	22806	12481
201	22928	12372
202	23056	12266
203	23173	12154
204	23292	12043
205	23408	11931
206	23522	11818
207	23649	11711
208	23768	11599
209	23893	11491
210	24009	11378
211	24129	11267
212	24253	11158
213	24369	11045
214	24484	10932
215	24599	10819
216	24717	10707
217	24856	10603
218	24977	10492
219	25091	10378
220	25207	10265
221	25328	10154
222	25446	10041
223	25565	9929
224	25685	9817
225	25819	9710
226	25930	9595
227	26050	9483
228	26166	9369
229	26289	9258
230	26403	9144
231	26519	9030
232	26633	8915
233	26769	8808
234	26888	8695
235	27016	8585
236	27151	8477
237	27287	8369
238	27407	8256
239	27526	8143
240	27649	8030
241	27771	7918
242	27884	7803
243	28003	7689
244	28122	7575
245	28241	7462
246	28361	7348
247	28486	7236
248	28606	7122
249	28722	7008
250	28841	6894
251	28963	6781
252	29073	6664
253	29190	6550
254	29304	6435
255	29420	6320
256	29537	6206
257	29667	6094
258	29784	5979
259	29919	5868
260	30035	5754
261	30157	5640
262	30267	5524
263	30391	5410
264	30515	5296
265	30629	5181
266	30751	5067
267	30884	4955
268	31001	4840
269	31128	4726
270	31241	4611
271	31361	4496
272	31481	4381
273	31599	4267
274	31716	4152
275	31835	4037
276	31953	3922
277	32065	3806
278	32182	3691
279	32311	3577
280	32425	3461
281	32546	3346
282	32672	3232
283	32791	3117
284	32931	3004
285	33050	2888
286	33185	2775
287	33309	2660
288	33425	2544
289	33545	2429
290	33666	2313
291	33788	2198
292	33919	2083
293	34047	1968
294	34171	1853
295	34288	1737
296	34405	1621
297	34526	1506
298	34641	1390
299	34791	1275
300	34903	1159
301	35021	1043
302	35145	927
303	35265	812
304	35383	696
305	35503	580
306	35626	464
307	35761	348
308	35876	232
309	35995	116
310	36114	0
